Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2013	HSA05040 HUNTINGTONS DISEASE	1/31	1.539564e-02	3.012191e-02	0	0	7.392593e+01	3.085425e+02	TP53
KEGG_2013	HSA00562 INOSITOL PHOSPHATE METABOLISM	1/51	2.521481e-02	4.714535e-02	0	0	4.431111e+01	1.630792e+02	PTEN
KEGG_2013	HSA05221 ACUTE MYELOID LEUKEMIA	1/53	2.619186e-02	4.714535e-02	0	0	4.260256e+01	1.551716e+02	KRAS
KEGG_2013	HSA05217 BASAL CELL CARCINOMA	1/56	2.765579e-02	4.786579e-02	0	0	4.027273e+01	1.444953e+02	TP53
KEGG_2013	HSA04662 B CELL RECEPTOR SIGNALING PATHWAY	1/64	3.154992e-02	4.928257e-02	0	0	3.514462e+01	1.214663e+02	KRAS
KEGG_2013	HSA05120 EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	1/68	3.349171e-02	4.928257e-02	0	0	3.303980e+01	1.122183e+02	EGFR
KEGG_2013	HSA04720 LONG TERM POTENTIATION	1/69	3.397661e-02	4.928257e-02	0	0	3.255229e+01	1.100945e+02	KRAS
KEGG_2013	HSA05211 RENAL CELL CARCINOMA	1/69	3.397661e-02	4.928257e-02	0	0	3.255229e+01	1.100945e+02	KRAS
KEGG_2013	HSA04370 VEGF SIGNALING PATHWAY	1/70	3.446130e-02	4.928257e-02	0	0	3.207890e+01	1.080391e+02	KRAS
KEGG_2013	HSA04520 ADHERENS JUNCTION	1/75	3.688143e-02	4.928257e-02	0	0	2.990390e+01	9.868429e+01	EGFR
KEGG_2013	HSA04664 FC EPSILON RI SIGNALING PATHWAY	1/75	3.688143e-02	4.928257e-02	0	0	2.990390e+01	9.868429e+01	KRAS
KEGG_2013	HSA04730 LONG TERM DEPRESSION	1/76	3.736480e-02	4.928257e-02	0	0	2.950370e+01	9.697945e+01	KRAS
KEGG_2013	HSA04070 PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	1/78	3.833088e-02	4.928257e-02	0	0	2.873449e+01	9.371751e+01	PTEN
KEGG_2013	HSA04210 APOPTOSIS	1/84	4.122391e-02	5.152989e-02	0	0	2.664926e+01	8.497749e+01	TP53
KEGG_2013	HSA04660 T CELL RECEPTOR SIGNALING PATHWAY	1/93	4.554876e-02	5.539714e-02	0	0	2.403140e+01	7.423232e+01	KRAS
KEGG_2013	HSA04916 MELANOGENESIS	1/102	4.985605e-02	5.904006e-02	0	0	2.188009e+01	6.560997e+01	KRAS
KEGG_2013	HSA04110 CELL CYCLE	1/115	5.604681e-02	6.466940e-02	0	0	1.937232e+01	5.582266e+01	TP53
KEGG_2013	HSA04360 AXON GUIDANCE	1/128	6.220124e-02	6.997640e-02	0	0	1.737795e+01	4.826518e+01	KRAS
KEGG_2013	HSA04650 NATURAL KILLER CELL MEDIATED CYTOTOXICITY	1/132	6.408763e-02	7.017877e-02	0	0	1.684394e+01	4.627878e+01	KRAS
KEGG_2013	HSA04910 INSULIN SIGNALING PATHWAY	1/135	6.550019e-02	7.017877e-02	0	0	1.646434e+01	4.487690e+01	KRAS
KEGG_2013	HSA04310 WNT SIGNALING PATHWAY	1/149	7.206676e-02	7.541871e-02	0	0	1.489640e+01	3.917994e+01	TP53
KEGG_2013	HSA04020 CALCIUM SIGNALING PATHWAY	1/174	8.368958e-02	8.559162e-02	0	0	1.272768e+01	3.157281e+01	EGFR
KEGG_2013	HSA04060 CYTOKINE CYTOKINE RECEPTOR INTERACTION	1/257	1.213439e-01	1.213439e-01	0	0	8.565104e+00	1.806489e+01	EGFR
