Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	Ras signaling pathway Homo sapiens hsa04014	2/227	5.435352e-03	1.209366e-02	0	0	2.196111e+01	1.145235e+02	KRAS;EGFR
KEGG_2016	HTLV-I infection Homo sapiens hsa05166	2/258	6.967110e-03	1.487456e-02	0	0	1.927148e+01	9.571288e+01	KRAS;TP53
KEGG_2016	Endocytosis Homo sapiens hsa04144	2/259	7.019454e-03	1.487456e-02	0	0	1.919553e+01	9.519195e+01	DAB2;EGFR
KEGG_2016	Vitamin digestion and absorption Homo sapiens hsa04977	1/24	1.193796e-02	2.470881e-02	0	0	9.645894e+01	4.271232e+02	FOLH1
KEGG_2016	Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250	1/35	1.736657e-02	3.512783e-02	0	0	6.521569e+01	2.643328e+02	FOLH1
KEGG_2016	Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960	1/39	1.933394e-02	3.823823e-02	0	0	5.833918e+01	2.302002e+02	KRAS
KEGG_2016	Amyotrophic lateral sclerosis (ALS) Homo sapiens hsa05014	1/51	2.521481e-02	4.774719e-02	0	0	4.431111e+01	1.630792e+02	TP53
KEGG_2016	Mineral absorption Homo sapiens hsa04978	1/51	2.521481e-02	4.774719e-02	0	0	4.431111e+01	1.630792e+02	STEAP2
KEGG_2016	Fanconi anemia pathway Homo sapiens hsa03460	1/53	2.619186e-02	4.856407e-02	0	0	4.260256e+01	1.551716e+02	BRCA1
KEGG_2016	Basal cell carcinoma Homo sapiens hsa05217	1/55	2.716803e-02	4.934602e-02	0	0	4.102058e+01	1.479085e+02	TP53
KEGG_2016	Acute myeloid leukemia Homo sapiens hsa05221	1/57	2.814332e-02	5.009511e-02	0	0	3.955159e+01	1.412168e+02	KRAS
KEGG_2016	Long-term depression Homo sapiens hsa04730	1/60	2.960461e-02	5.052140e-02	0	0	3.753484e+01	1.321161e+02	KRAS
KEGG_2016	mTOR signaling pathway Homo sapiens hsa04150	1/60	2.960461e-02	5.052140e-02	0	0	3.753484e+01	1.321161e+02	PTEN
KEGG_2016	VEGF signaling pathway Homo sapiens hsa04370	1/61	3.009127e-02	5.052140e-02	0	0	3.690741e+01	1.293059e+02	KRAS
KEGG_2016	Longevity regulating pathway - multiple species Homo sapiens hsa04213	1/64	3.154992e-02	5.052140e-02	0	0	3.514462e+01	1.214663e+02	KRAS
KEGG_2016	Retinol metabolism Homo sapiens hsa00830	1/65	3.203569e-02	5.052140e-02	0	0	3.459375e+01	1.190338e+02	ALDH1A1
KEGG_2016	Long-term potentiation Homo sapiens hsa04720	1/66	3.252125e-02	5.052140e-02	0	0	3.405983e+01	1.166843e+02	KRAS
KEGG_2016	Renal cell carcinoma Homo sapiens hsa05211	1/66	3.252125e-02	5.052140e-02	0	0	3.405983e+01	1.166843e+02	KRAS
KEGG_2016	Epithelial cell signaling in Helicobacter pylori infection Homo sapiens hsa05120	1/68	3.349171e-02	5.052140e-02	0	0	3.303980e+01	1.122183e+02	EGFR
KEGG_2016	Fc epsilon RI signaling pathway Homo sapiens hsa04664	1/68	3.349171e-02	5.052140e-02	0	0	3.303980e+01	1.122183e+02	KRAS
KEGG_2016	Inositol phosphate metabolism Homo sapiens hsa00562	1/71	3.494576e-02	5.141917e-02	0	0	3.161905e+01	1.060490e+02	PTEN
KEGG_2016	Prolactin signaling pathway Homo sapiens hsa04917	1/72	3.543000e-02	5.141917e-02	0	0	3.117214e+01	1.041211e+02	KRAS
KEGG_2016	B cell receptor signaling pathway Homo sapiens hsa04662	1/73	3.591403e-02	5.141917e-02	0	0	3.073765e+01	1.022527e+02	KRAS
KEGG_2016	Adherens junction Homo sapiens hsa04520	1/74	3.639784e-02	5.141917e-02	0	0	3.031507e+01	1.004413e+02	EGFR
KEGG_2016	Progesterone-mediated oocyte maturation Homo sapiens hsa04914	1/98	4.794387e-02	6.553863e-02	0	0	2.278694e+01	6.922045e+01	KRAS
KEGG_2016	Phosphatidylinositol signaling system Homo sapiens hsa04070	1/98	4.794387e-02	6.553863e-02	0	0	2.278694e+01	6.922045e+01	PTEN
KEGG_2016	Melanogenesis Homo sapiens hsa04916	1/100	4.890039e-02	6.553863e-02	0	0	2.232435e+01	6.737423e+01	KRAS
KEGG_2016	AGE-RAGE signaling pathway in diabetic complications Homo sapiens hsa04933	1/101	4.937833e-02	6.553863e-02	0	0	2.210000e+01	6.648218e+01	KRAS
KEGG_2016	HIF-1 signaling pathway Homo sapiens hsa04066	1/103	5.033356e-02	6.553863e-02	0	0	2.166449e+01	6.475696e+01	EGFR
KEGG_2016	T cell receptor signaling pathway Homo sapiens hsa04660	1/104	5.081085e-02	6.553863e-02	0	0	2.145307e+01	6.392255e+01	KRAS
KEGG_2016	Insulin resistance Homo sapiens hsa04931	1/109	5.319406e-02	6.751812e-02	0	0	2.045473e+01	6.001027e+01	PTEN
KEGG_2016	Cholinergic synapse Homo sapiens hsa04725	1/111	5.414584e-02	6.751812e-02	0	0	2.008081e+01	5.855713e+01	KRAS
KEGG_2016	Serotonergic synapse Homo sapiens hsa04726	1/112	5.462140e-02	6.751812e-02	0	0	1.989890e+01	5.785265e+01	KRAS
KEGG_2016	Cell cycle Homo sapiens hsa04110	1/124	6.031143e-02	7.353037e-02	0	0	1.794670e+01	5.039854e+01	TP53
KEGG_2016	Axon guidance Homo sapiens hsa04360	1/127	6.172911e-02	7.424177e-02	0	0	1.751675e+01	4.878416e+01	KRAS
KEGG_2016	Natural killer cell mediated cytotoxicity Homo sapiens hsa04650	1/135	6.550019e-02	7.652741e-02	0	0	1.646434e+01	4.487690e+01	KRAS
KEGG_2016	Measles Homo sapiens hsa05162	1/136	6.597061e-02	7.652741e-02	0	0	1.634156e+01	4.442529e+01	TP53
KEGG_2016	Ubiquitin mediated proteolysis Homo sapiens hsa04120	1/137	6.644082e-02	7.652741e-02	0	0	1.622059e+01	4.398121e+01	BRCA1
KEGG_2016	Insulin signaling pathway Homo sapiens hsa04910	1/139	6.738061e-02	7.652741e-02	0	0	1.598390e+01	4.311493e+01	KRAS
KEGG_2016	Wnt signaling pathway Homo sapiens hsa04310	1/142	6.878868e-02	7.652741e-02	0	0	1.564145e+01	4.186772e+01	TP53
KEGG_2016	Signaling pathways regulating pluripotency of stem cells Homo sapiens hsa04550	1/142	6.878868e-02	7.652741e-02	0	0	1.564145e+01	4.186772e+01	KRAS
KEGG_2016	Alcoholism Homo sapiens hsa05034	1/179	8.599836e-02	9.270957e-02	0	0	1.236704e+01	3.034163e+01	KRAS
KEGG_2016	Transcriptional misregulation in cancer Homo sapiens hsa05202	1/180	8.645949e-02	9.270957e-02	0	0	1.229733e+01	3.010484e+01	TP53
KEGG_2016	Calcium signaling pathway Homo sapiens hsa04020	1/180	8.645949e-02	9.270957e-02	0	0	1.229733e+01	3.010484e+01	EGFR
KEGG_2016	Herpes simplex infection Homo sapiens hsa05168	1/185	8.876199e-02	9.390183e-02	0	0	1.196014e+01	2.896504e+01	TP53
KEGG_2016	Chemokine signaling pathway Homo sapiens hsa04062	1/187	8.968152e-02	9.390183e-02	0	0	1.183035e+01	2.852877e+01	KRAS
KEGG_2016	Huntington's disease Homo sapiens hsa05016	1/193	9.243512e-02	9.565960e-02	0	0	1.145718e+01	2.728238e+01	TP53
KEGG_2016	Epstein-Barr virus infection Homo sapiens hsa05169	1/202	9.655146e-02	9.877103e-02	0	0	1.093919e+01	2.557232e+01	TP53
KEGG_2016	Metabolic pathways Homo sapiens hsa01100	2/1239	1.240195e-01	1.248986e-01	0	0	3.790016e+00	7.910964e+00	FOLH1;ALDH1A1
KEGG_2016	Cytokine-cytokine receptor interaction Homo sapiens hsa04060	1/265	1.248986e-01	1.248986e-01	0	0	8.302189e+00	1.727066e+01	EGFR
